ID,Severity,Time,City,Traffic_Signal,Humidity(%),Crossing,Sunrise_Sunset
A-3515243,2,2016-06-24 09:33:07,Tempe,False,19.0,False,Day
A-1713347,2,2019-12-13 08:19:47,Buffalo,False,63.0,False,Day
A-1882938,2,2019-09-27 08:30:25,Cincinnati,True,84.0,True,Day
A-904576,3,2021-09-10 08:03:42,Syracuse,False,86.0,False,Day
A-3386624,2,2017-08-18 18:12:05,Ladson,False,66.0,False,Day
A-774295,2,2021-12-17 07:32:01,Cornelius,False,88.0,False,Day
A-4886227,2,2022-03-11 21:23:00,Woodbridge,False,89.0,False,Night
A-1200905,2,2021-01-08 16:04:50,Nashville,False,62.0,True,Day
A-2317136,2,2019-01-04 10:35:58,Charlotte,True,100.0,False,Day
A-7153908,2,2020-04-03 05:33:11,Tempe,False,47.0,False,Night
A-6023904,2,2021-05-07 21:45:00,Exeter,False,43.0,False,Night
A-5516221,2,2021-12-17 11:43:00,La Puente,False,50.0,False,Day
A-5555511,2,2021-07-02 22:09:00,Orlando,False,82.0,False,Night
A-7727610,3,2019-05-24 18:34:32,Houston,False,65.0,False,Day
A-3879910,2,2022-07-22 19:16:53,Miami,False,67.0,False,Day
A-3386212,2,2017-08-18 12:19:58,Brooksville,False,61.0,False,Day
A-2529361,2,2018-10-19 08:22:16,Purcellville,True,100.0,True,Day
A-5381260,2,2022-10-14 09:40:27,Greenwood,True,55.0,False,Day
A-590145,3,2022-06-17 16:59:45,Lugoff,False,44.0,False,Day
A-6858276,2,2020-12-18 05:39:30,Ooltewah,False,89.0,False,Night
A-5262587,2,2022-05-13 18:16:29,Indianapolis,False,38.0,True,Day
A-2418327,3,2018-12-28 06:17:11,Hightstown,False,97.0,False,Night
A-7226705,2,2020-01-17 15:08:00,Saint Paul,False,84.0,False,Day
A-5972929,2,2021-12-24 13:41:30,Plymouth Meeting,False,42.0,False,Day
A-7045865,3,2020-05-22 15:18:43,New Lenox,True,66.0,True,Day
A-1864443,3,2019-10-04 08:00:52,Elmhurst,False,86.0,False,Day
A-4560008,2,2023-01-20 08:35:02,Manheim,True,68.0,False,Day
A-4960537,2,2022-09-02 01:05:38,Belton,False,87.0,False,Night
A-3980435,2,2022-10-14 08:40:02,Leesburg,False,97.0,False,Day
A-4533796,2,2022-06-10 11:16:49,Oakland Gardens,False,38.0,False,Day
A-5448254,2,2022-03-18 06:16:24,Cottondale,False,93.0,False,Night
A-361899,2,2017-03-03 10:18:00,Augusta,False,25.0,False,Day
A-1354425,2,2020-10-23 11:08:44,Columbia,True,69.0,False,Day
A-2208494,2,2019-03-08 08:29:05,Johnson City,False,76.0,False,Day
A-848846,3,2021-10-22 21:55:50,Arlington,False,67.0,False,Night
A-1113897,2,2021-03-19 08:17:14,El Sobrante,False,93.0,False,Day
A-3280099,2,2017-09-01 16:28:26,Indianapolis,False,45.0,False,Day
A-129460,2,2016-11-25 06:18:42,Thonotosassa,False,94.0,False,Night
A-1680904,2,2019-12-27 11:37:36,Austin,True,78.0,True,Day
A-6211656,2,2021-07-02 13:01:00,Martinsburg,False,52.0,False,Day
A-1233172,2,2020-12-11 07:13:09,Milwaukee,False,81.0,False,Day
A-4968535,2,2022-11-04 17:25:55,Aitkin,False,56.0,False,Day
A-1636985,2,2020-02-07 10:53:43,San Mateo,False,86.0,False,Day
