name,geometry,property_type
Scarborough Health Network - Centenary Hospital,POINT (-79.20480950712249 43.780254515806355),hospital
Centre For Addiction and Mental Health - Queen Street Site,POINT (-79.41863658506462 43.642999439390984),hospital
Sunnybrook Health Sciences Centre - Bayview Campus,POINT (-79.37479438480257 43.722703238572585),hospital
Toronto Western Hospital,POINT (-79.40548222230937 43.65350652564968),hospital
St. Joseph's Health Centre,POINT (-79.45005775014081 43.6402993282079),hospital
Michael Garron Hospital,POINT (-79.32493212057909 43.689946063604445),hospital
Etobicoke General Hospital,POINT (-79.59799347798157 43.729241555542046),hospital
Humber River Hospital,POINT (-79.48860254313233 43.723419345643634),hospital
Scarborough Health Network - General Campus,POINT (-79.24778857385533 43.75652904681985),hospital
Scarborough Health Network - Birchmount Hospital,POINT (-79.30936262238897 43.80156588751245),hospital
North York General Hospital,POINT (-79.36271679300347 43.7690993785934),hospital
Toronto General Hospital,POINT (-79.38815226396972 43.658648230547996),hospital
Hospital for Sick Children,POINT (-79.38756609552739 43.657274147468584),hospital
Mount Sinai Hospital,POINT (-79.39032053659504 43.657451155712295),hospital
Centre For Addiction and Mental Health - College Street Site,POINT (-79.3992822944924 43.659007686133705),hospital
St. Michael's Hospital,POINT (-79.37780577424067 43.65363507718099),hospital
